#pfamid seq_len neff distprob_norm distprob_raw estimated_tmscore probability_tmscore_gt_05
PF00379 56 1094 -0.11933 -20.64 0.50494 0.51771
PF00477 109 102 -0.04744 -9.58 0.23829 0.05463
PF00513 511 125 -0.04738 -339.54 0.32089 0.04511
PF00524 122 131 -0.06154 -28.61 0.2604 0.07753
PF00660 107 128 -0.1117 -59.76 0.50059 0.51427
PF00674 102 151 -0.10662 -38.7 0.44758 0.35366
PF00803 230 30 -0.06116 -182.44 0.40419 0.2353
PF00810 142 239 -0.10932 -114.35 0.55702 0.67943
PF00811 129 228 -0.09726 -75.18 0.44892 0.3597
PF00845 280 11 -0.06109 -179.74 0.38027 0.17423
PF00872 383 3357 -0.10837 -362.16 0.5919 0.72657
PF00951 173 12 -0.06438 -69.08 0.29852 0.10663
PF01093 432 43 -0.04682 -212.74 0.31938 0.04725
PF01101 96 42 -0.0574 -9.36 0.24687 0.06588
PF01104 91 19 -0.10778 -37.29 0.45485 0.37486
PF01107 200 139 -0.0748 -150.58 0.42712 0.29793
PF01146 134 137 -0.05837 -7.06 0.24698 0.06281
PF01151 360 417 -0.0898 -330.93 0.52162 0.54304
PF01169 76 923 -0.06964 -0.28 0.28876 0.09858
PF01203 213 734 -0.11555 -180.48 0.63189 0.8439
PF01254 137 10 -0.05928 -23.06 0.25187 0.06838
PF01265 317 140 -0.05896 -206.06 0.37754 0.16491
PF01277 113 128 -0.00807 -0.4 0.22622 0.03687
PF01284 204 251 -0.0928 -210.19 0.59325 0.75641
PF01295 604 213 -0.05902 -458.02 0.32215 0.04967
PF01307 100 87 -0.04811 -4.81 0.2382 0.05512
PF01308 392 69 -0.05366 -258.33 0.35158 0.10173
PF01350 144 29 -0.07376 -71.03 0.36374 0.17021
PF01366 663 43 -0.04748 -543.52 0.30366 0.02617
PF01407 120 47 -0.09407 -73.84 0.43943 0.33248
PF01440 128 66 -0.06349 -47.87 0.27575 0.09301
PF01456 206 19 -0.06629 -80.34 0.32545 0.12041
PF01492 84 77 -0.06279 -5.53 0.25582 0.07562
PF01516 324 21 -0.05437 -189.98 0.35458 0.11553
PF01518 366 16 -0.05489 -237.75 0.3582 0.1179
PF01524 78 23 -0.06496 -7.53 0.26082 0.08177
PF01526 387 258 -0.10264 -417.96 0.64271 0.75306
PF01528 376 43 -0.07452 -290.41 0.42421 0.2822
PF01552 99 46 -0.09276 -22.26 0.39539 0.21985
PF01559 244 19 -0.05448 -72.29 0.26379 0.06404
PF01573 276 13 -0.06046 -197.58 0.39453 0.20859
PF01577 242 104 -0.05678 -132.35 0.3411 0.11884
PF01578 250 1663 -0.11367 -274.39 0.69871 0.911
PF01579 164 171 -0.12431 -141.22 0.64597 0.86322
PF01594 334 8817 -0.10405 -195.82 0.51285 0.57033
PF01606 211 12 -0.06221 -132.13 0.3625 0.15461
PF01610 238 2161 -0.14133 -220.33 0.72604 0.94322
PF01616 193 28 -0.09308 -135.71 0.48336 0.47635
PF01621 349 20 -0.06162 -213.01 0.37065 0.14844
PF01623 92 36 -0.08356 -23.65 0.36871 0.18111
PF01629 106 61 -0.08082 -69.18 0.39888 0.2307
PF01639 101 13 -0.0637 -35.54 0.27136 0.09151
PF01644 163 143 -0.10804 -148.55 0.59871 0.77768
PF01646 174 51 -0.08141 -121.71 0.42411 0.28904
PF01659 104 26 -0.07696 -58.88 0.37567 0.19227
PF01671 215 12 -0.07041 -123.5 0.37742 0.17559
PF01672 85 38 -0.07526 -12.57 0.30374 0.12064
PF01673 598 28 -0.04936 -415.92 0.30867 0.03041
PF01677 206 51 -0.07619 -138.9 0.412 0.25581
